country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",06-04-2025 14:00:00,18.9767,72.838,SO2,6.0,11.0,7.0
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",06-04-2025 14:00:00,18.9767,72.838,OZONE,1.0,61.0,28.0
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",06-04-2025 14:00:00,19.16485,73.23409,NO2,29.0,116.0,69.0
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",06-04-2025 14:00:00,19.16485,73.23409,NH3,2.0,5.0,4.0
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",06-04-2025 14:00:00,19.16485,73.23409,SO2,9.0,24.0,13.0
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",06-04-2025 14:00:00,19.16485,73.23409,CO,9.0,94.0,24.0
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",06-04-2025 14:00:00,19.309073,73.057223,CO,17.0,76.0,48.0
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",06-04-2025 14:00:00,19.309073,73.057223,OZONE,31.0,113.0,48.0
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",06-04-2025 14:00:00,19.10078,72.87462,NO2,32.0,48.0,39.0
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",06-04-2025 14:00:00,19.0364585,72.8954371,OZONE,2.0,89.0,36.0
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB",06-04-2025 14:00:00,19.786089,72.757971,NH3,3.0,7.0,5.0
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",06-04-2025 14:00:00,19.0863,72.8888,NO2,23.428571428571427,87.67038007863695,48.31651376146789
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",06-04-2025 14:00:00,18.96702,72.84214,CO,14.0,70.0,41.0
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM",06-04-2025 14:00:00,18.96702,72.84214,OZONE,8.0,68.0,29.0
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",06-04-2025 14:00:00,19.1878657,72.8304069,NH3,1.0,4.0,2.0
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",06-04-2025 14:00:00,19.1878657,72.8304069,CO,8.0,35.0,24.0
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",06-04-2025 14:00:00,18.897756,72.81332,PM2.5,16.0,76.0,37.0
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",06-04-2025 14:00:00,18.897756,72.81332,NO2,11.0,65.0,26.0
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",06-04-2025 14:00:00,19.000083,72.813993,PM2.5,12.0,67.0,31.0
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",06-04-2025 14:00:00,19.000083,72.813993,PM10,58.0,97.0,74.0
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",06-04-2025 14:00:00,19.047,72.8746,PM2.5,63.0,120.0,78.0
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",06-04-2025 14:00:00,19.047,72.8746,CO,8.0,8.0,8.0
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",06-04-2025 14:00:00,18.9936162,72.8128113,PM2.5,60.0,69.0,64.0
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",06-04-2025 14:00:00,18.9936162,72.8128113,PM10,68.0,109.0,82.0
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",06-04-2025 14:00:00,18.9936162,72.8128113,NH3,4.0,5.0,5.0
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",06-04-2025 14:00:00,18.9936162,72.8128113,SO2,4.0,14.0,8.0
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",06-04-2025 14:00:00,19.2058,72.8682,PM10,23.428571428571427,87.67038007863695,48.31651376146789
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",06-04-2025 14:00:00,19.215859,72.831718,PM2.5,24.0,75.0,44.0
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",06-04-2025 14:00:00,19.215859,72.831718,SO2,1.0,6.0,3.0
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",06-04-2025 14:00:00,19.0632143,72.8456324,PM2.5,7.0,67.0,36.0
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",06-04-2025 14:00:00,19.1653323,72.922099,CO,2.0,16.0,7.0
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",06-04-2025 14:00:00,19.95022,73.73148,PM10,73.0,136.0,100.0
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",06-04-2025 14:00:00,19.95022,73.73148,CO,5.0,30.0,14.0
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",06-04-2025 14:00:00,19.95022,73.73148,OZONE,20.0,86.0,37.0
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB",06-04-2025 14:00:00,19.9591346,73.7788008,NH3,2.0,5.0,4.0
India,Maharashtra,Navi Mumbai,"Kopripada-Vashi, Navi Mumbai - MPCB",06-04-2025 14:00:00,19.090337,73.014232,NH3,6.0,49.0,17.0
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",06-04-2025 14:00:00,19.173852,77.296291,PM10,42.0,111.0,80.0
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",06-04-2025 14:00:00,19.173852,77.296291,OZONE,17.0,117.0,65.0
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",06-04-2025 14:00:00,20.0073285,73.7762427,NH3,4.0,5.0,5.0
India,Maharashtra,Navi Mumbai,"Mahape, Navi Mumbai - MPCB",06-04-2025 14:00:00,19.1135051,73.008978,CO,36.0,57.0,45.0
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",06-04-2025 14:00:00,19.0575752,73.0151367,PM10,68.0,260.0,122.0
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai - MPCB",06-04-2025 14:00:00,19.0575752,73.0151367,NH3,6.0,24.0,12.0
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",06-04-2025 14:00:00,21.121801,79.04952,CO,9.0,108.0,18.0
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",06-04-2025 14:00:00,21.143383,79.048912,PM2.5,74.0,306.0,130.0
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB",06-04-2025 14:00:00,21.143383,79.048912,NO2,8.0,49.0,26.0
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",06-04-2025 14:00:00,19.04946,72.923,PM2.5,24.0,311.0,117.0
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",06-04-2025 14:00:00,19.04946,72.923,NO2,19.0,73.0,42.0
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",06-04-2025 14:00:00,19.083694,72.920967,PM2.5,42.0,100.0,63.0
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB",06-04-2025 14:00:00,19.1375,72.915056,NH3,2.0,2.0,2.0
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB",06-04-2025 14:00:00,19.1375,72.915056,OZONE,9.0,9.0,9.0
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",06-04-2025 14:00:00,18.501793,73.927532,NO2,82.0,125.0,100.0
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",06-04-2025 14:00:00,18.501793,73.927532,CO,54.0,90.0,81.0
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",06-04-2025 14:00:00,18.501793,73.927532,OZONE,1.0,121.0,37.0
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",06-04-2025 14:00:00,18.57304,73.927715,PM10,23.428571428571427,87.67038007863695,48.31651376146789
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",06-04-2025 14:00:00,18.536457,73.805454,PM2.5,25.0,66.0,49.0
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",06-04-2025 14:00:00,18.536457,73.805454,PM10,57.0,92.0,72.0
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",06-04-2025 14:00:00,18.536457,73.805454,NO2,10.0,38.0,22.0
India,Maharashtra,Navi Mumbai,"Sector-2E Kalamboli, Navi Mumbai - MPCB",06-04-2025 14:00:00,19.02579,73.10297,OZONE,1.0,109.0,29.0
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",06-04-2025 14:00:00,19.063,73.1209,PM2.5,55.0,325.0,140.0
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",06-04-2025 14:00:00,19.063,73.1209,PM10,88.0,233.0,127.0
India,Maharashtra,Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",06-04-2025 14:00:00,19.063,73.1209,SO2,1.0,2.0,2.0
